InsDel1a,InsDel1b,InsDel1c,InsDel1d,InsDel2a,InsDel2b,InsDel2c,InsDel3,InsDel4a,InsDel4b,InsDel5a,InsDel5b,InsDel6,InsDel7,InsDel8,InsDel24a,InsDel9,InsDel11,InsDel12,InsDel13,InsDel14,InsDel17,InsDel18,InsDel19a,InsDel19b,InsDel19c,InsDel25,InsDel28,InsDel29,InsDel30,InsDel33,InsDel38
A[Del(C):R6]G,6.15894377049289e-05,2.49414736014727e-05,3.56728841007611e-05,2.30858219284008e-05,0.000360578746857511,0.00057746592142349,0.000149246653203864,0.000412927608548406,9.68431829063915e-05,6.01672519022871e-05,5.62490180992614e-05,0.000141071434724373,2.11653091877909e-05,0.000907374913190093,0.0002229899230093,0.00011249147467598,0.000143789572681,4.87820964242528e-08,0.000333399547159971,1.90486454836281e-05,1.74855431571284e-05,0.000114295482078259,5.42318526832268e-05,9.48275682320203e-05,1.33524939536335e-05,0.000185108568372826,0.000164464113458517,6.90752593554948e-05,3.81391577101558e-05,0.000255250036792226,0.000583843510572357,2.97898044129756e-05
A[Del(C):R6]T,0.00037517247958935,3.75298317983053e-05,0.000266345476370683,0.000339729653030978,0.000993663802148577,0.00164195221234701,0.00034691390535063,0.001141176885288,0.000284382395004659,0.000118400915158299,0.000174429350863222,0.000732493556826121,0.000196435072248377,0.00193715555785809,0.000155445384785525,0.000241717601422576,0.000514931745458274,2.43910482121264e-07,0.000427518201735909,8.19545792523901e-05,0.000238012639900023,0.000100335889754954,0.000155787754466509,0.000187539078408786,6.42136146539761e-05,0.000232775023581396,0.000165122987261567,5.55180884526564e-05,0.000214407636662415,0.000311370065198579,0.000977872908558544,7.13012958559973e-05
A[Del(C):R7]A,0.000335214390722457,0.000147072646152876,0.000219624009941492,9.22979486596463e-05,0.00215116132779373,0.0016076364857522,0.000171689119296241,0.000773912495312645,0.000554176841036213,0.000150476723351059,3.56225081249667e-05,0.000169866131375735,4.04597065527313e-05,0.00428464914815125,0.000199078514814407,7.10694765375079e-05,0.000353965451202336,0.000194786911022042,0.000351110693340555,5.18627726840577e-05,3.60157754296192e-05,0.000144727815721048,0.000127190743213414,0.000441082688484754,9.74126579955011e-05,0.000193825827135887,9.46335036149286e-05,0.000575062279174838,0.00021279133717843,0.000513143887207508,0.00284907070421602,0.000136381474091462
A[Del(C):R7]G,4.81258038381982e-05,3.66978755820151e-05,2.07469805125044e-05,3.27347969568575e-05,0.000427005484218229,0.000202463449247279,0.000149920437629382,0.000116032472775653,6.08592514787318e-05,2.39396689538872e-06,3.20310205103201e-06,2.50511584006281e-05,6.58515236710839e-06,0.00100484103217122,2.55202855024026e-05,6.46980500643308e-05,2.17009050046698e-05,9.75641928485056e-08,0.000140486375136991,1.51997818404815e-05,4.26998949279105e-05,5.82459237937619e-05,2.75075452148281e-05,3.0557491220457e-05,2.25470024773447e-05,4.84473763060936e-05,4.3730996353481e-05,8.14289857397842e-05,3.79279367548624e-06,0.000463633392858797,0.000677207396284623,2.23501853555036e-05
A[Del(C):R7]T,0.00011376287650389,0.000112124747439609,3.14057927011486e-05,0.000104745579836895,0.000466483008668744,0.000606569048745937,0.000167996916762469,0.00023873123144776,0.000186154280233732,2.70953525887178e-05,2.91019460513939e-05,0.000143167095138938,5.1083132544803e-05,0.000676679723766825,4.58695166674723e-05,0.00020435951232803,7.83095789183667e-05,1.46346289272758e-07,0.000365965203040399,9.97171039628641e-06,4.69401036902636e-05,0.000180482111943977,0.000123280443486879,6.13966560069546e-05,6.0668413810805e-05,4.50512775796512e-05,7.37167636880204e-05,0.000297864798387001,0.000135089576189837,0.000153941132459465,0.000451546208512468,8.06568806370469e-05
A[Del(C):R8]A,0.000560054104192254,0.000181372192780344,0.00019061033594138,7.567088105401e-05,0.00127288130453151,0.000361080129519911,6.91003360836714e-05,0.00018888898692464,0.00097078864293865,0.000206508941524948,8.08812936227248e-06,1.35530125316736e-05,1.99772230241152e-05,0.00231992739344523,2.69404381990606e-05,0.000349614644074244,0.000165645393819882,0.00019488447521489,0.00170339729853601,2.63379296883435e-05,0.000421476120697891,0.000148085720682327,0.000121136845444019,0.000676091944161257,0.000236922977832234,9.51391935557374e-05,6.67475210296221e-05,0.000516253138365334,0.000343289153470584,0.000476669427723255,0.00296342080848662,0.000133486090433457
A[Del(C):R8]G,2.9890084512909e-05,1.11252627819774e-05,5.5433975436161e-06,5.34176490255444e-06,6.74542447044934e-05,1.83898117912546e-05,0.000113889985622393,1.37730094949126e-05,9.84394991081452e-05,2.88615309625885e-05,1.69702914323791e-06,3.06806961552796e-06,2.50648838507343e-06,0.000131922247686145,1.7725959074233e-05,9.95837990561079e-05,1.47338943701578e-05,2.92692578545517e-07,0.000194401629978734,3.49931235472653e-06,2.45100138604247e-05,4.02103839388407e-05,2.70423137714602e-05,6.77097670732119e-05,4.31588476680641e-05,5.03966522239446e-05,1.72929340101348e-05,2.96194712116362e-05,5.2437898031541e-06,0.000107074451733811,0.000341935654675052,4.26277640719908e-05
A[Del(C):R8]T,0.000301514439617293,7.07449665300572e-06,6.05901503572451e-05,5.42419954611238e-05,0.000297600505206278,8.60741217839902e-05,0.000116765479761598,3.19998519382817e-05,0.000331992464979337,6.78513834056677e-05,4.89042155517956e-06,1.82053976258446e-05,1.51585772172379e-05,0.000376438273814285,2.05025699113866e-05,0.000126707430266901,2.74054018379195e-05,6.34167253515287e-07,8.17749779933746e-05,7.80791193155594e-06,0.000114183102179085,5.6070677183625e-05,4.30721870480096e-05,0.000187835945984613,8.54966918435957e-05,3.57468145804676e-05,2.8811209627887e-05,9.56001589480048e-05,6.12724440746833e-05,7.45453756562746e-05,0.000647770356502246,5.38333605069597e-05
A[Del(C):R9]A,0.000848805212090685,3.29282532778587e-05,3.84369403208087e-05,2.19770759725465e-05,0.000133343116142095,1.76546167223443e-05,8.57577843811979e-05,3.69253824680172e-05,0.000577178858512625,0.000214553005113999,4.20966797006632e-06,6.03937265691125e-06,1.17467351679908e-05,0.000266820428380985,3.18590733693794e-05,0.000216916939766677,3.07050101115025e-05,4.39038867818275e-07,0.00014409475806003,8.81097215050036e-06,0.000223646982788774,0.000136111304877011,0.000251007086211008,0.00111328730368065,0.000568305192864807,0.000117392418009217,3.89206167944371e-05,0.000460943810696507,6.07673504859381e-05,0.000193903392223367,0.00137966435316541,7.39955196015446e-05
A[Del(C):R9]G,2.67396536301862e-05,1.94103991704123e-05,1.45998213798088e-05,4.57512271746561e-06,1.72978035901245e-05,4.96753424939345e-06,2.68867209394804e-05,1.80327512526549e-06,3.62050345849802e-05,1.57533066332922e-05,3.01861890831511e-06,1.68867158801477e-06,1.51928709166384e-05,2.13490846275903e-05,3.82875054265108e-06,5.19912520778087e-05,1.0573289622759e-05,2.43910482121264e-07,4.53453453995253e-05,6.93403371050589e-07,1.0339743552048e-05,8.47712610979551e-05,7.49317074102918e-05,5.32853923209736e-05,6.3740555911894e-05,1.62480017500381e-05,4.57807147043059e-06,5.91038619160883e-05,6.32836349098685e-05,5.96586712556763e-05,0.000239061121168026,1.1388618978271e-05
