"","A[Ins(C):R4]A","A[Ins(C):R4]G","A[Ins(C):R4]T","G[Ins(C):R4]A","G[Ins(C):R4]G","G[Ins(C):R4]T","T[Ins(C):R4]A","T[Ins(C):R4]G","T[Ins(C):R4]T","A[Ins(C):R5]A","A[Ins(C):R5]G","A[Ins(C):R5]T","G[Ins(C):R5]A","G[Ins(C):R5]G","G[Ins(C):R5]T","T[Ins(C):R5]A","T[Ins(C):R5]G","T[Ins(C):R5]T","A[Ins(C):R6]A","A[Ins(C):R6]G","A[Ins(C):R6]T","G[Ins(C):R6]A","G[Ins(C):R6]G","G[Ins(C):R6]T","T[Ins(C):R6]A","T[Ins(C):R6]G","T[Ins(C):R6]T"
"A[Ins(C):R5]T",0.991608879611028,0.593785611040893,0.980178397219125,0.991793223075463,0.85774393316256,0.979732527693774,0.989679599371502,0.952343971668605,0.978709061623989,0.990884532922186,0.949866688325401,1,0.993831597246223,0.909490684447862,0.91989711088018,0.992673981400693,0.98324287443342,0.99530821019293,0.956853115557081,0.972000487648346,0.990106222198302,0.966150378245224,0.7914015234147,0.955794538681477,0.99086873990696,0.973001256596135,0.99331084049518
"G[Ins(C):R5]A",0.989258084670788,0.615806608958938,0.973674367011172,0.988730562688303,0.870358634711642,0.973188251913064,0.985458218369848,0.956760378355873,0.972071882277585,0.986844540008518,0.953981879707237,0.993831597246223,1,0.920654354845854,0.929317882505333,0.989614906066215,0.985930897008775,0.995053753059793,0.96483465516831,0.975528467069772,0.991045122442992,0.972218289566246,0.804941526818941,0.961582899465568,0.993220431662488,0.977573158500997,0.993416006630173
"G[Ins(C):R5]G",0.886657363382365,0.771218601001196,0.840927473824139,0.884910687565202,0.909411226251747,0.83912149044737,0.873247935780119,0.934343250233713,0.836070531622414,0.873543493515898,0.930546173639299,0.909490684447862,0.920654354845854,1,0.956856520178096,0.880709777779488,0.928004240611667,0.911102585411225,0.942612394229089,0.943903752074956,0.92406485172038,0.951245676502512,0.904942232054739,0.957095433129424,0.921668004893035,0.946951675584094,0.915736972997124
"G[Ins(C):R5]T",0.890007643611262,0.776377864781368,0.838758408197169,0.887121310732593,0.909523692121957,0.837771916800543,0.875133545712527,0.94120545845033,0.83484101132756,0.875457918527697,0.933436923249601,0.91989711088018,0.929317882505333,0.956856520178096,1,0.885101299775268,0.929139725035058,0.922825964169023,0.968458456440128,0.958175190879447,0.944526668999386,0.975819997867988,0.947950583462401,0.984946017427595,0.938056056317319,0.961322582493916,0.93366999577196
"T[Ins(C):R5]A",0.997553820053901,0.539761496611309,0.994254709404044,0.997548478773677,0.829617856675563,0.993825419418532,0.998046867324643,0.934592088019451,0.993582880072621,0.998478573911188,0.932627997338845,0.992673981400693,0.989614906066215,0.880709777779488,0.885101299775268,1,0.978050168894601,0.993294947527995,0.936653396997942,0.956080447403971,0.980170092848426,0.944692116746531,0.739935335436723,0.928333256680118,0.984987201666009,0.957388994366714,0.987253227461083
"T[Ins(C):R5]G",0.98035883993592,0.647976429178537,0.959985653584772,0.978440443126471,0.883974008672215,0.958854715938149,0.97433003503254,0.95880793960027,0.957594195754006,0.974485324752254,0.955371895829204,0.98324287443342,0.985930897008775,0.928004240611667,0.929139725035058,0.978050168894601,1,0.985880278266394,0.964342741699954,0.973823753935315,0.980425877001844,0.970034298279981,0.818757491838099,0.958822339614726,0.985822094557665,0.975992026711201,0.983983519380866
"T[Ins(C):R5]T",0.993273077136046,0.596073977940723,0.979991632078147,0.992674429202095,0.859302432146802,0.979542578280107,0.990351791967827,0.95177192621358,0.978814204209645,0.990963678201738,0.951451106045758,0.99530821019293,0.995053753059793,0.911102585411225,0.922825964169023,0.993294947527995,0.985880278266394,1,0.963519347044148,0.974436494619887,0.991230621300791,0.970734364709358,0.795862179681247,0.957236101118831,0.995292618837087,0.975873877973755,0.995094418703838
"A[Ins(C):R6]A",0.941254827488862,0.727311633095166,0.901263412231377,0.935517224100237,0.898493160694667,0.899752445113767,0.928133252354905,0.957304953749234,0.898086335745318,0.929129783694608,0.95429457552246,0.956853115557081,0.96483465516831,0.942612394229089,0.968458456440128,0.936653396997942,0.964342741699954,0.963519347044148,1,0.9780550370716,0.973924749960435,0.993257696895348,0.893018921085568,0.983885807941251,0.978469482585419,0.980656712116248,0.970285413844792
"A[Ins(C):R6]G",0.960532042331764,0.696167716406151,0.927984024619808,0.958392212192303,0.899271773345044,0.926458165910407,0.951716399876932,0.961539371498549,0.925211623924421,0.950435445175864,0.958678024108368,0.972000487648346,0.975528467069772,0.943903752074956,0.958175190879447,0.956080447403971,0.973823753935315,0.974436494619887,0.9780550370716,1,0.978247787494929,0.984775092473725,0.875967319087736,0.976803180691137,0.979868639280124,0.984711225525652,0.97632470556124
"A[Ins(C):R6]T",0.978989978289057,0.628773896900435,0.959748370559489,0.978619506539336,0.87232240686718,0.959043391460507,0.974426225227143,0.955428232814652,0.95792608492734,0.976421197393079,0.953705671481651,0.990106222198302,0.991045122442992,0.92406485172038,0.944526668999386,0.980170092848426,0.980425877001844,0.991230621300791,0.973924749960435,0.978247787494929,1,0.981207554953894,0.830811001712769,0.973810717346591,0.993303568651948,0.980882319305532,0.993787290442587
"G[Ins(C):R6]A",0.948426293002365,0.725340575417826,0.910328268555622,0.944027026477928,0.904795010440579,0.909035336561821,0.9362029891023,0.962754906265561,0.907131363272944,0.937497628966302,0.962334633631091,0.966150378245224,0.972218289566246,0.951245676502512,0.975819997867988,0.944692116746531,0.970034298279981,0.970734364709358,0.993257696895348,0.984775092473725,0.981207554953894,1,0.898839544659275,0.990367214991294,0.982106539400611,0.986561538024776,0.977356480232714
"G[Ins(C):R6]G",0.749877603886032,0.84177433264777,0.676174428278299,0.746179304708864,0.876407579877724,0.673446049550138,0.727815762065896,0.857688578419925,0.670044421386338,0.725321920354395,0.856830325889084,0.7914015234147,0.804941526818941,0.904942232054739,0.947950583462401,0.739935335436723,0.818757491838099,0.795862179681247,0.893018921085568,0.875967319087736,0.830811001712769,0.898839544659275,1,0.91746674099554,0.822702883383202,0.876445703509937,0.813119075043767
"G[Ins(C):R6]T",0.930845828747347,0.733506456859962,0.890295021216002,0.929201972230534,0.907336484758491,0.889557772428625,0.91947273411082,0.955753093101717,0.887068951043741,0.921061161511596,0.95233349596792,0.955794538681477,0.961582899465568,0.957095433129424,0.984946017427595,0.928333256680118,0.958822339614726,0.957236101118831,0.983885807941251,0.976803180691137,0.973810717346591,0.990367214991294,0.91746674099554,1,0.969449615533862,0.980328113939893,0.966122201266446
"T[Ins(C):R6]A",0.985520578251378,0.628704649444837,0.965789155217305,0.983557449275646,0.869756228878474,0.964974562902378,0.980415931196226,0.956488713142701,0.964201908340345,0.981067301006712,0.954818989167877,0.99086873990696,0.993220431662488,0.921668004893035,0.938056056317319,0.984987201666009,0.985822094557665,0.995292618837087,0.978469482585419,0.979868639280124,0.993303568651948,0.982106539400611,0.822702883383202,0.969449615533862,1,0.983032858354168,0.995413976897485
"T[Ins(C):R6]G",0.961134681453386,0.705141519585281,0.929005263275442,0.958550876948314,0.900989424188383,0.92728027371017,0.952036254242449,0.966685525177361,0.925917968965139,0.950671252074028,0.962678012093518,0.973001256596135,0.977573158500997,0.946951675584094,0.961322582493916,0.957388994366714,0.975992026711201,0.975873877973755,0.980656712116248,0.984711225525652,0.980882319305532,0.986561538024776,0.876445703509937,0.980328113939893,0.983032858354168,1,0.97847483176049
"T[Ins(C):R6]T",0.98625873094963,0.611770179670859,0.970204670033129,0.984734886663668,0.86518623411045,0.969333262289831,0.982460387932227,0.953124178479368,0.968608928645237,0.983931169565652,0.949748628366034,0.99331084049518,0.993416006630173,0.915736972997124,0.93366999577196,0.987253227461083,0.983983519380866,0.995094418703838,0.970285413844792,0.97632470556124,0.993787290442587,0.977356480232714,0.813119075043767,0.966122201266446,0.995413976897485,0.97847483176049,1
