"","Ins(2,4):M","Ins(5,):M","Del3:M2","Del4:M2","Del5:M2","Del(7,):M1","Del6:M1","Del(7,):M3","Del6:M3","Del(7,):M(6,)","Del(7,):M4","Del(7,):M5","Del6:M4","Del6:M5","Del2:M1","Del3:M1","Del4:M1","Del5:M1","Del4:M3","Del5:M3","Del5:M4","Del(7,):M2","Del6:M2"
"Del(7,):M4",0.0720514064646593,0.106479770610753,0.10223243384587,0.246678702607539,0.716957532405743,0.741144838924328,0.206508282838188,0.980965077232216,0.748304548302465,0.773413215473369,1,0.962479455442706,0.485091831939929,0.450260923986718,0.0792600226539828,0.199432749321339,0.139960458399526,0.448006979581254,0.162984821759206,0.466314502133192,0.414195862505355,0.969336769639234,0.789852041948598
"Del(7,):M5",0.125342692082262,0.1515814436599,0.150404025162785,0.289375848477483,0.722029181972748,0.743611698950196,0.258557797596024,0.965183408920535,0.760698608255488,0.792246631288046,0.962479455442706,1,0.521419163611701,0.490361659873854,0.125715710815821,0.248562254171109,0.196965016634638,0.464519604987871,0.206151389180874,0.501389802710142,0.437410204480827,0.950049053692814,0.788822797961082
"Del6:M4",0.654042675546305,0.647537362271464,0.675333950074575,0.716386141372543,0.591201334303992,0.640855623720649,0.805088163475948,0.503978313388227,0.693863456623201,0.610668212972721,0.485091831939929,0.521419163611701,1,0.692572038467549,0.644866870182055,0.738524748303586,0.773045451133899,0.596059009737421,0.652719740273162,0.788817133765359,0.64230218448981,0.472623477702466,0.574548667183287
"Del6:M5",0.602137766768741,0.564346587146893,0.557776920740789,0.607163367269956,0.555498692307159,0.56216968758739,0.686611530726844,0.470427690573261,0.646005032612118,0.559413910217984,0.450260923986718,0.490361659873854,0.692572038467549,1,0.560287109465252,0.652362906240424,0.667839000141123,0.541345337718292,0.560923628089645,0.687753667638997,0.583984880834905,0.435583260567539,0.529012716111851
"Del2:M1",0.755784176787196,0.705888990651381,0.846270972282117,0.82127017551203,0.348957892866743,0.383481070165745,0.786945736913217,0.103172410393555,0.390452205121749,0.333884498386898,0.0792600226539828,0.125715710815821,0.644866870182055,0.560287109465252,1,0.77771970919826,0.837397272568777,0.454823955124704,0.83460495001522,0.726665767424142,0.64730131412939,0.079568133233089,0.235959863594089
"Del3:M1",0.749556675883089,0.705133724866879,0.81462037366584,0.823869793413802,0.500980997660894,0.5804766527206,0.893650080605122,0.23378995339317,0.533322591174344,0.438814781538078,0.199432749321339,0.248562254171109,0.738524748303586,0.652362906240424,0.77771970919826,1,0.905578258828926,0.686496382953984,0.771454783887544,0.766291693980975,0.639182246930056,0.226672792343615,0.419889034438413
"Del4:M1",0.834644811808801,0.774616015923659,0.87549137825367,0.857925624794802,0.408153648854527,0.505671145229373,0.94275410737785,0.17113143484442,0.493497265036083,0.405351665076894,0.139960458399526,0.196965016634638,0.773045451133899,0.667839000141123,0.837397272568777,0.905578258828926,1,0.572845161413596,0.82410981204049,0.780485390309125,0.644720740329433,0.146017715956878,0.32848579936194
"Del5:M1",0.423268479776565,0.436763850380339,0.460187919825744,0.560549589138093,0.682087679915806,0.738776170694155,0.624381088675359,0.481228207818182,0.626327324575393,0.538048510791345,0.448006979581254,0.464519604987871,0.596059009737421,0.541345337718292,0.454823955124704,0.686496382953984,0.572845161413596,1,0.468111142171779,0.629635283225543,0.542841675581997,0.513456663997568,0.643774044681094
"Del4:M3",0.710184632793753,0.668727288507671,0.926242550890437,0.929399627971557,0.425909919055576,0.401759062271027,0.744853899082835,0.183497771432764,0.438257471453907,0.384800867820438,0.162984821759206,0.206151389180874,0.652719740273162,0.560923628089645,0.83460495001522,0.771454783887544,0.82410981204049,0.468111142171779,1,0.767539944681836,0.719134778569288,0.157055344681037,0.304882459506023
"Del5:M3",0.656280539211443,0.65207312861265,0.749403617023935,0.810838020737165,0.649642732049198,0.62723712230261,0.781339747735737,0.48638671255195,0.693855841626044,0.589180889466236,0.466314502133192,0.501389802710142,0.788817133765359,0.687753667638997,0.726665767424142,0.766291693980975,0.780485390309125,0.629635283225543,0.767539944681836,1,0.739061344211052,0.462520236737315,0.594167253754024
"Del5:M4",0.53673265528416,0.52933465453963,0.659818436697854,0.73819734801416,0.578638130451271,0.535952493055531,0.622976160333887,0.425297404080772,0.584453461738271,0.523981872222599,0.414195862505355,0.437410204480827,0.64230218448981,0.583984880834905,0.64730131412939,0.639182246930056,0.644720740329433,0.542841675581997,0.719134778569288,0.739061344211052,1,0.407906104884399,0.505302720321312
"Del(7,):M2",0.0639344370238387,0.102580987086433,0.0962800321214918,0.247277972942658,0.737209161998155,0.818097897108659,0.218429257518917,0.980125107545032,0.746707579537356,0.769531117544241,0.969336769639234,0.950049053692814,0.472623477702466,0.435583260567539,0.079568133233089,0.226672792343615,0.146017715956878,0.513456663997568,0.157055344681037,0.462520236737315,0.407906104884399,1,0.804194183016931
"Del6:M2",0.21574113685103,0.248674114721729,0.254207665778765,0.400604157066353,0.793671775067994,0.738033840655303,0.389584286754696,0.797717166598422,0.775100400213623,0.687356112155671,0.789852041948598,0.788822797961082,0.574548667183287,0.529012716111851,0.235959863594089,0.419889034438413,0.32848579936194,0.643774044681094,0.304882459506023,0.594167253754024,0.505302720321312,0.804194183016931,1
