"","A[Del(C):R1]A","G[Del(C):R1]A","T[Del(C):R1]A"
"A[Del(C):R1]A",1,0.636101568061975,0.681064205543383
"G[Del(C):R1]A",0.636101568061975,1,0.839849565664582
"T[Del(C):R1]A",0.681064205543383,0.839849565664582,1
