"","Del(10,):U(2,):R1","Del(10,):U1:R1","Del5:U(2,):R1","Del5:U1:R1","Del6:U(2,):R1","Del6:U1:R1","Del7:U(2,):R1","Del7:U1:R1","Del8:U(2,):R1","Del8:U1:R1","Del9:U(2,):R1","Del9:U1:R1","Del2:U(2,):R1","Del2:U1:R1","Del3:U(2,):R1","Del3:U1:R1","Del4:U(2,):R1","Del4:U1:R1","Del2:U1:R3","Del2:U1:R4","Del2:U2:R2","Del2:U2:R3","Del2:U2:R4","Del3:U1:R4","Del4:U2:R3","Del4:U2:R4","Del(6,):U1:R(7,9)","Del(6,):U2:R(4,9)","Del2:U1:R(5,9)","Del2:U2:R(5,9)","Del3:U1:R(5,9)","Del4:U1:R(5,9)","Del4:U2:R(5,9)","Del5:U1:R(5,9)","Del(6,):U(4,):R(2,9)","Del3:U3:R2","Del4:U4:R2","Del5:U5:R2","Del(6,):U3:R(3,9)","Del3:U3:R(5,9)","Del3:U3:R3","Del3:U3:R4","Del4:U4:R(5,9)","Del4:U4:R3","Del4:U4:R4","Del5:U5:R(5,9)","Del5:U5:R3","Del5:U5:R4"
"Del9:U(2,):R1",0.691433704605561,0.638564218202595,0.652145836848506,0.450571028902143,0.673900818190012,0.553793406065139,0.667421194433028,0.534992917180635,0.652206468852514,0.538619059763042,1,0.495246958867648,0.201227334577979,0.283113793857469,0.338571473724378,0.184309094882747,0.469507352822624,0.25183103150107,0.21203151277265,0.204850044231851,0.191854331011137,0.16608890297667,0.116995089198052,0.322369691110474,0.187898141258299,0.158438969572817,-0.0086486849881994,0.112109585490308,0.109850381974313,0.114956717809681,0.0968515639384084,0.0858027268250303,0.114001808766208,0.074933015096014,0.261441538835316,0.155783105046894,0.175668789573747,0.251423465747251,0.168583467299054,0.11199365744624,0.131837123676682,0.127445913975422,0.120225379140847,0.161741917491972,0.143190882317031,0.120271740561609,0.165783675823995,0.123872749765267
"Del9:U1:R1",0.543264043012426,0.527235204912836,0.479657684488743,0.310429165522451,0.504251753744235,0.401666127646716,0.510731792223818,0.423099990517671,0.513397524527108,0.41284963505391,0.495246958867648,1,0.0720866125231761,0.214403390599735,0.18325945900462,0.0673773778218498,0.31038983777956,0.12114682647665,0.10462148219927,0.100806496514695,0.0943028146661597,0.06072150447645,0.0140159043976484,0.259733799940255,0.131677611360727,0.047019058556712,0.00553212179657322,0.0170521205777173,0.00207054944944813,0.00506730824055366,0.00266648431900991,0.00569369569439425,0.0126481432514488,0.0109330195757228,0.139562081867598,0.050226854255264,0.0698777051827347,0.147879657393555,0.0598760643871229,0.00239084258478262,0.0267314695812951,0.0166204653208583,0.00623762063603442,0.0437452944937478,0.0303707468936598,0.0177849013204999,0.0463111751690442,0.0171618337283002
"Del2:U(2,):R1",0.144681866850015,0.0778821822213337,0.456228582008422,0.696625469803787,0.304106944898376,0.379634015193922,0.24457702095312,0.181519329967456,0.211553968343894,0.113382647295846,0.201227334577979,0.0720866125231761,1,0.424217712693824,0.916146101973867,0.948932118046291,0.756748379051194,0.906878738059668,0.801940308924052,0.793268087385267,0.798703320687326,0.90601448932521,0.916523902291214,0.185407675500207,0.435988207724981,0.841761314563753,0.155065764635422,0.834392744642414,0.952247124183504,0.938504305677109,0.902915319654135,0.834387022563552,0.905556024385648,0.766078586384168,0.837271158627223,0.8273060177311,0.793422541705708,0.613352646792945,0.866636268421526,0.934221646956325,0.863963246761793,0.906353366391847,0.949423906894679,0.902706867741446,0.906919531165438,0.891803492493443,0.873341137054465,0.867449951624386
"Del2:U1:R1",0.282564404221623,0.26177519479507,0.371809845684991,0.359198059254555,0.342786769608378,0.303868264302295,0.302618938614485,0.264196769431438,0.299667240509074,0.257955071669747,0.283113793857469,0.214403390599735,0.424217712693824,1,0.396437097356176,0.320937797412363,0.414376820067725,0.344690137588081,0.560024434658769,0.503221882710424,0.553537946539425,0.476000916380898,0.335525438197647,0.278595451465847,0.318520430560249,0.394136291317927,0.0714985768256223,0.241831734083092,0.269088177055994,0.297695767299675,0.243112187385753,0.226264391569182,0.271993970786995,0.216954632841773,0.416789024722694,0.418961197475768,0.46171785963848,0.492571848552256,0.331695779598714,0.300576782666882,0.381528238755183,0.347607592300577,0.314933873831373,0.422031475766887,0.379827550741386,0.293109205315773,0.377620046821177,0.329232754610735
"Del3:U(2,):R1",0.293476739510721,0.222947012953378,0.588842273370408,0.764104041194829,0.45135945319315,0.50302048589381,0.390949169465937,0.298679577929068,0.354948433791109,0.239451718077711,0.338571473724378,0.18325945900462,0.916146101973867,0.396437097356176,1,0.910827192390966,0.842691637099483,0.899755004447569,0.728098668641362,0.716499530551789,0.686879927775778,0.801633154107374,0.820273276404166,0.266427455168824,0.432865771230802,0.761489827133433,0.0755892201198786,0.798605446949966,0.896142487359483,0.850705895741278,0.862346579118744,0.800082884054741,0.851285441112023,0.725009043300813,0.802781379264214,0.753540699513904,0.72749921379321,0.587880595983304,0.823319179097792,0.843021583633272,0.775243657168068,0.818112123804816,0.86585293349489,0.821745112975042,0.822649629380868,0.802514647669057,0.795081594530574,0.768220386872809
"Del3:U1:R1",0.135150576841037,0.0660953361100112,0.444054656200659,0.737846455102598,0.29673763510844,0.385297991082948,0.230901953711847,0.162154728541857,0.202009922521439,0.0936664417821366,0.184309094882747,0.0673773778218498,0.948932118046291,0.320937797412363,0.910827192390966,1,0.748879149418438,0.946438177109907,0.689261599004189,0.681504638362991,0.67125889850286,0.813129710872295,0.856650517434513,0.157989432847005,0.386161471068312,0.794460453184482,0.101926803329743,0.876085290857848,0.960217595736171,0.901138185380173,0.95496575350069,0.909494581404999,0.924998871556358,0.834651243048955,0.826976709404256,0.744645040568077,0.708807054675471,0.545216742036751,0.8662485725602,0.898226838184301,0.782377833418116,0.843786989034977,0.920254389282246,0.845617638089118,0.851277286598354,0.875919006959313,0.827765497288291,0.827013230155337
"Del4:U(2,):R1",0.455019328757781,0.38670325827179,0.661351271567361,0.745437495088453,0.567553395836772,0.573622639509699,0.515661535613725,0.411357997415585,0.482363918047444,0.360827303645245,0.469507352822624,0.31038983777956,0.756748379051194,0.414376820067725,0.842691637099483,0.748879149418438,1,0.780460353462089,0.632923018510658,0.620794438428891,0.599868016459341,0.668101284122653,0.669072755452783,0.323641250588828,0.409713035183998,0.627663264773359,0.0774224414133838,0.671853387604419,0.701854200359005,0.687799546978108,0.682503896370688,0.638912899815145,0.702642199018542,0.587795058283632,0.707143967713898,0.631952737905647,0.623313711827161,0.540269544414265,0.691521195557227,0.677146522388156,0.634007295274478,0.662518191397883,0.689540079463234,0.678044560136041,0.669510905782999,0.652408882139741,0.647096198149012,0.622891873075364
"Del4:U1:R1",0.209297872553481,0.13869813032783,0.497315893976699,0.775369467753437,0.364522785023813,0.445957301871562,0.2988018426481,0.218747960106882,0.265450061996564,0.160391218999514,0.25183103150107,0.12114682647665,0.906878738059668,0.344690137588081,0.899755004447569,0.946438177109907,0.780460353462089,1,0.666635484608561,0.651094503198679,0.649856720871482,0.770744170854371,0.805845587773727,0.200160089545287,0.390027884973682,0.755555698052902,0.0803055475256157,0.84789100376099,0.906393307165489,0.847779478052908,0.92372069040658,0.896241439558691,0.88855287944814,0.824362260216051,0.809272422388011,0.709222684970037,0.681036024279627,0.542260475199386,0.846411601853771,0.848216117028379,0.736265066667383,0.792494823209345,0.868959954707703,0.805142064113362,0.801539814364245,0.835977304286463,0.794819209169122,0.789505129244361
"Del2:U1:R3",0.174481218493644,0.126219961211439,0.405671330341089,0.51708912449968,0.293046381998939,0.318078007890422,0.252948895328846,0.20026231298792,0.219405181278848,0.155041792068563,0.21203151277265,0.10462148219927,0.801940308924052,0.560024434658769,0.728098668641362,0.689261599004189,0.632923018510658,0.666635484608561,1,0.938131199845708,0.880296490011979,0.866947949441561,0.78780003457899,0.232057140559028,0.550371558900117,0.794678844738619,0.201093615775547,0.559757885674892,0.687450434967771,0.753136055059187,0.604541851431908,0.548164931873657,0.649026562037053,0.526043079517595,0.697889372280505,0.92363544508009,0.918763939750906,0.730955368073436,0.664937973092808,0.764724313682043,0.897504919391229,0.835793682876848,0.786496795208365,0.868053606437345,0.832792385414519,0.699097057629614,0.749593943176038,0.761005232675507
"Del2:U1:R4",0.170410475990949,0.121571430955438,0.392048343142602,0.509455406581512,0.277298857242768,0.30732815854036,0.249254657204345,0.192413062509105,0.213104788508275,0.147893937878865,0.204850044231851,0.100806496514695,0.793268087385267,0.503221882710424,0.716499530551789,0.681504638362991,0.620794438428891,0.651094503198679,0.938131199845708,1,0.864366301127192,0.871136125775666,0.807657343777102,0.222184981521925,0.545631789346762,0.783300067732378,0.217661546532256,0.563919283020668,0.686052787364574,0.765964711271697,0.59781313352655,0.538516723769961,0.651493454889508,0.522028812562896,0.68990945699298,0.922067147851676,0.909102077265116,0.700936114566887,0.653369963180434,0.776716060547285,0.910999197486857,0.851078171464696,0.787964371577609,0.859946802375526,0.833421390730087,0.703656376026163,0.740048060086491,0.767231535314721
