"","A[Del(C):R2]T","G[Del(C):R2]T","T[Del(C):R2]T"
"A[Del(C):R2]T",1,0.912484921398907,0.914476285200237
"G[Del(C):R2]T",0.912484921398907,1,0.920038371776779
"T[Del(C):R2]T",0.914476285200237,0.920038371776779,1
