"","A[Del(C):R2]A","G[Del(C):R2]A","T[Del(C):R2]A"
"A[Del(C):R2]A",1,0.948869723410842,0.960504623932212
"G[Del(C):R2]A",0.948869723410842,1,0.957604071667571
"T[Del(C):R2]A",0.960504623932212,0.957604071667571,1
