"","Ins(5,):U(3,):R1","Ins(5,):U1:R1","Ins(5,):U2:R1","Ins(2,4):M","Ins2:U1:R0","Ins2:U2:R0","Ins3:U1:R0","Ins3:U3:R0","Ins4:U1:R0","Ins4:U2:R0","Ins4:U4:R0","Ins2:U1:R1","Ins2:U2:R1","Ins3:U1:R1","Ins3:U3:R1","Ins4:U1:R1","Ins4:U2:R1","Ins4:U4:R1","Ins(5,):U(3,):R2","Ins(5,):U(3,):R3","Ins(5,):U(3,):R4","Ins(5,):U1:R2","Ins(5,):U1:R3","Ins(5,):U1:R4","Ins(5,):U2:R2","Ins(5,):U2:R3","Ins(5,):U2:R4","Ins2:U1:R2","Ins2:U1:R3","Ins2:U1:R4","Ins2:U2:R2","Ins2:U2:R3","Ins2:U2:R4","Ins3:U1:R2","Ins3:U1:R3","Ins3:U1:R4","Ins3:U3:R2","Ins3:U3:R3","Ins3:U3:R4","Ins4:U1:R2","Ins4:U1:R3","Ins4:U1:R4","Ins4:U2:R2","Ins4:U2:R3","Ins4:U2:R4","Ins4:U4:R2","Ins4:U4:R3","Ins4:U4:R4","Ins(5,):M","Ins(5,):R0","Ins(5,):U(3,):R(5,9)","Ins(5,):U1:R(5,9)","Ins(5,):U2:R(5,9)","Ins2:U1:R(5,9)","Ins2:U2:R(5,9)","Ins3:U1:R(5,9)","Ins3:U3:R(5,9)","Ins4:U1:R(5,9)","Ins4:U2:R(5,9)","Ins4:U4:R(5,9)"
"Ins4:U4:R0",0.390884631545023,0.235858639322581,0.381676328694391,0.733970371527099,0.698348762658508,0.801401357999532,0.536627468085269,0.755060324142272,0.22629957503608,0.421721372637379,1,0.634413545653854,0.682439845151835,0.342079792999722,0.292307459556546,0.28803861968086,0.387167797307178,0.275457443978826,0.554767386062177,0.533029447907751,0.526130452507282,0.184208852420354,0.291074577162495,0.307031341470764,0.470552753096979,0.513343220775729,0.597690886034564,0.518374635124174,0.539948612922434,0.638019584965457,0.664001141891445,0.706392728204691,0.645533890941729,0.268178380417555,0.306426648226765,0.332628718877478,0.405164704908752,0.59626514837763,0.597027713291338,0.23192667404799,0.28439679999663,0.227994177393009,0.48200594908005,0.528030205149267,0.605666589471218,0.581674426310912,0.626991901220015,0.634643467966985,0.781396772758435,0.423179615447084,0.617360317421757,0.685544203948882,0.609682045304574,0.586303025294944,0.669569495356002,0.550080539651375,0.635182645050006,0.556841756653804,0.586899723514311,0.587735416372728
"Ins2:U1:R1",0.417458411816817,0.200173211198943,0.343085483049746,0.686171456041096,0.695147178999506,0.677082026914771,0.461835890251932,0.625896531877385,0.245040600826653,0.389774129441228,0.634413545653854,1,0.606674875293543,0.37997678295685,0.305202109466497,0.300980364433248,0.346283327417258,0.270906977200909,0.498255889468487,0.471168810924746,0.447232164349037,0.167251977435124,0.27426512592758,0.359909649552612,0.423930309203958,0.47465493349303,0.467955912430911,0.632383761772137,0.672824955086901,0.550229199912494,0.61255325559881,0.6107522904283,0.472738448432529,0.358429358770431,0.32631744177295,0.333765333400855,0.393242160641248,0.431950579498549,0.424677782319041,0.298100007749913,0.398604542432406,0.263383016468866,0.464449387557481,0.486420474078953,0.433434295402026,0.532068200793721,0.519709475528168,0.512519480089679,0.6931628472134,0.295363191819052,0.507897863200341,0.567777567875943,0.400261737849186,0.39044965412987,0.506623056479699,0.333973717893477,0.526901661802349,0.339750099542688,0.375871675424057,0.522486617993817
"Ins2:U2:R1",0.379442979707118,0.167676818152655,0.382056205215781,0.74139567379473,0.574768638142999,0.7861854325689,0.435008707852168,0.75196028065467,0.142974686754891,0.374386188901544,0.682439845151835,0.606674875293543,1,0.299549208168767,0.626756889010715,0.253847711803591,0.322641644568046,0.602183363413973,0.549175959866275,0.562375980224354,0.558694609536635,0.1516994362135,0.266619216850182,0.257499967701674,0.490485267693438,0.552560807466807,0.64765380342645,0.632847304444487,0.588761295926856,0.732767893221524,0.845372838752953,0.787348074805585,0.750181574554115,0.309223603872209,0.378750385057217,0.411980466922374,0.65255184107938,0.715096514388261,0.716529138444909,0.229193669398483,0.163980199121152,0.230321514762719,0.653510535280002,0.637260530619783,0.727359555236751,0.660910764265001,0.717601536546807,0.727140039348472,0.751521449315049,0.283681416794468,0.662069599507297,0.687750840309167,0.68552740069236,0.575300395020508,0.764791482225538,0.56106208336421,0.740601874928423,0.594864438845358,0.681573128730303,0.666456917368855
"Ins3:U1:R1",0.205468363633613,0.144839534445222,0.171251489469149,0.293962144895226,0.3914020774886,0.337450651990791,0.313237911694211,0.308797738596995,0.138707147903686,0.237970736774997,0.342079792999722,0.37997678295685,0.299549208168767,1,0.185488168231748,0.16987029590467,0.226093520670702,0.168923257165198,0.224292390908043,0.225708098074808,0.1953262131904,0.1330972172349,0.147525522632568,0.170277157837692,0.194029046028302,0.222269706108082,0.195343118403066,0.330012246205074,0.317632699752667,0.234890840483815,0.27427472486091,0.254551052053107,0.172428417735581,0.225674679959797,0.2047007807409,0.16530822300481,0.215751612315658,0.141988544418849,0.144841436829432,0.191681402110256,0.17184282338268,0.0948238322723561,0.22267617336283,0.220653093265022,0.158087916419788,0.244156396835795,0.200865665407059,0.194750369633193,0.307899554554948,0.172413535195202,0.218771798429567,0.28500589946534,0.147246027668376,0.221311776117954,0.187952777212954,0.184013882205508,0.196360517870345,0.163684828363373,0.129025065572598,0.211216643820956
"Ins3:U3:R1",0.322270520070179,0.1075530941897,0.122131042053032,0.24904069433183,0.207839303351023,0.26533439486133,0.134272203284245,0.297217342532979,0.0783309099349088,0.196851895949591,0.292307459556546,0.305202109466497,0.626756889010715,0.185488168231748,1,0.102404219111203,0.102401708066206,0.917586055876425,0.219056527330464,0.190989380285551,0.189744819433431,0.111194067530357,0.0910781414072217,0.111189647634812,0.145272378912813,0.153414332128737,0.165379282989281,0.36376398282749,0.300920166672734,0.283099528577139,0.483851832291941,0.256360122994246,0.177234810655045,0.206053933709412,0.224217615905937,0.270304041382288,0.71410399010749,0.194266482591564,0.167182284071528,0.102030736509404,0.119301800521945,0.110104161318172,0.480150287581924,0.28461915267944,0.192151249259977,0.362393313075896,0.199485040096485,0.205265835524141,0.237211832088916,0.129802190175313,0.188097545274749,0.184107353023202,0.15025252306819,0.118342066264873,0.184192555151527,0.108654372000079,0.193273461250324,0.120846289749715,0.143746255163208,0.205359154648017
"Ins4:U1:R1",0.139932886548085,0.080012887789152,0.203127618754167,0.280963224238648,0.298290998246588,0.322491202181126,0.227689056867522,0.287478818328098,0.12687627017564,0.144106426893754,0.28803861968086,0.300980364433248,0.253847711803591,0.16987029590467,0.102404219111203,1,0.185715946814732,0.0864066937487556,0.185793983307773,0.175361406292534,0.151671281250492,0.109168349583352,0.177645615593125,0.128040945516891,0.228122995577338,0.192630495121316,0.218160552685259,0.257552420044351,0.263350699626672,0.274331400447028,0.255799656657578,0.271372186823464,0.241193829117817,0.143896726618751,0.157177238250958,0.157384679533021,0.138414208568626,0.21634189828526,0.216505037362968,0.144762161231102,0.178056600503701,0.121679029598945,0.210436226358338,0.22926709727551,0.236206084840346,0.216860084794233,0.231652592371245,0.226937571787264,0.294186155954888,0.137466459198729,0.193634231060015,0.270615289219684,0.209821884505501,0.259808786816481,0.249130434426766,0.241409579311294,0.224253809779994,0.236634768762107,0.214408786402555,0.197307524029379
"Ins4:U2:R1",0.193307558481971,0.107779718963977,0.22239526135757,0.407040724059756,0.361884855195624,0.396346052586784,0.291840621234886,0.362283723267045,0.132910382803124,0.231033226312153,0.387167797307178,0.346283327417258,0.322641644568046,0.226093520670702,0.102401708066206,0.185715946814732,1,0.104191711520992,0.283345898819262,0.29733451470297,0.251894380987017,0.0989923305746871,0.13583991316935,0.201869521476483,0.249447774734001,0.266447029678668,0.295435440676015,0.257199940736774,0.269574915565285,0.315318535944738,0.353225400377468,0.388004746704923,0.296460461235804,0.16244521376711,0.161775256601154,0.161317339154123,0.198905214761543,0.272644611765023,0.254543346056414,0.171055415098309,0.158050372675608,0.10310734840117,0.249772840632932,0.283236540200571,0.272102897901987,0.324752270428918,0.295147598547714,0.315583772718441,0.411865668729543,0.184201120198584,0.314168589059951,0.389921552909937,0.259270867322414,0.335599430076209,0.311885283098124,0.294504861138498,0.318491141579505,0.270161602316067,0.241724019860115,0.322035313042502
"Ins4:U4:R1",0.268976363075662,0.0968100916506162,0.12806790903301,0.244420548323183,0.187916781055205,0.236288381678786,0.114129348161301,0.282124074336242,0.0709702599731929,0.195658115957644,0.275457443978826,0.270906977200909,0.602183363413973,0.168923257165198,0.917586055876425,0.0864066937487556,0.104191711520992,1,0.212268155326326,0.173234973780193,0.172346283083187,0.0811164259804793,0.0833818413902007,0.0936510543770661,0.137465000862426,0.167906034133999,0.164808129189233,0.315440316562045,0.267485816862358,0.238277141541367,0.489685092914506,0.249154030331678,0.137423673889204,0.166600175283517,0.184332321179666,0.240820459316986,0.715498011605954,0.152985106257311,0.123854928962439,0.0571417326611685,0.0933574274114742,0.0805724305582499,0.496503668461938,0.302751063293368,0.162559365994167,0.369312088402505,0.178228828480936,0.172966259071303,0.223340802497847,0.116995737394885,0.170497935164938,0.171949491062516,0.108340622494922,0.0891089824945308,0.147656217128301,0.0702605850349008,0.166338133763839,0.073995526329274,0.0987830790272344,0.186914601778943
"Ins(5,):U(3,):R2",0.447556035250146,0.155472843390548,0.377679090163559,0.674211217690124,0.507462978126714,0.60174978578149,0.364806026767283,0.61357092241258,0.145103413453572,0.291702216542266,0.554767386062177,0.498255889468487,0.549175959866275,0.224292390908043,0.219056527330464,0.185793983307773,0.283345898819262,0.212268155326326,1,0.527414630533089,0.503461033315335,0.0944519684652875,0.243127996164118,0.262431246244861,0.451579570792343,0.565505816350366,0.541240078295399,0.355858178841689,0.394750642266134,0.440444306608034,0.625738631676855,0.639414898471118,0.508478466703409,0.206450409243543,0.210648701085778,0.264220188903773,0.368257707611825,0.485251918859311,0.474798262485178,0.126548071688864,0.15746732867939,0.201888973797356,0.466099597157676,0.533011457343664,0.467259839357721,0.60078365403971,0.590884768828687,0.56628684506887,0.677220801881939,0.286301410816139,0.573926407518974,0.572730975685888,0.431568454716885,0.347331353295396,0.547201536067046,0.29284643448017,0.583968309855576,0.3105288799541,0.397360270520667,0.592209032020864
"Ins(5,):U(3,):R3",0.325816900125776,0.142496409809643,0.29144423147183,0.696726245707121,0.468679096783427,0.629274652022626,0.347046824176424,0.602285572159868,0.128857478335728,0.286282069726175,0.533029447907751,0.471168810924746,0.562375980224354,0.225708098074808,0.190989380285551,0.175361406292534,0.29733451470297,0.173234973780193,0.527414630533089,1,0.571168182906453,0.081518723004267,0.23504700583546,0.213106232707642,0.441469032509532,0.590365746382643,0.587269547490505,0.356904818161784,0.386934485049728,0.472088037176232,0.637566802850804,0.682772874820424,0.583896552062582,0.184061365700322,0.205868054914988,0.226364206957749,0.317456706682217,0.539635424876598,0.559361116981335,0.125113571178941,0.127126475063531,0.168452240657132,0.429849440755332,0.53063226684762,0.538677443503154,0.568618761342956,0.657923787403614,0.648329076940188,0.690121514563446,0.236026277384078,0.67904402378207,0.603914296433999,0.525788716714371,0.404262407438075,0.619675779817785,0.353519717787219,0.669219632157857,0.36990399794471,0.486013350946916,0.690904060123462
