"","A[Del(C):R4]T","G[Del(C):R4]T","T[Del(C):R4]T","A[Del(C):R5]T","G[Del(C):R5]T","T[Del(C):R5]T"
"A[Del(C):R4]T",1,0.892689715265945,0.926160205013099,0.926533976186028,0.889307801710306,0.928516406785205
"G[Del(C):R4]T",0.892689715265945,1,0.887706881453046,0.846286042713439,0.911652764210663,0.855702970697421
"T[Del(C):R4]T",0.926160205013099,0.887706881453046,1,0.848763002363894,0.82383519963313,0.866545190880103
"A[Del(C):R5]T",0.926533976186028,0.846286042713439,0.848763002363894,1,0.937034948679516,0.989642500282168
"G[Del(C):R5]T",0.889307801710306,0.911652764210663,0.82383519963313,0.937034948679516,1,0.942520285299106
"T[Del(C):R5]T",0.928516406785205,0.855702970697421,0.866545190880103,0.989642500282168,0.942520285299106,1
