"","A[Del(C):R4]A","G[Del(C):R4]A","T[Del(C):R4]A","A[Del(C):R5]A","G[Del(C):R5]A","T[Del(C):R5]A"
"A[Del(C):R4]A",1,0.759687982667607,0.933167025551084,0.945103852058578,0.880479161991975,0.935526092452848
"G[Del(C):R4]A",0.759687982667607,1,0.775508256059266,0.711636482234966,0.912757977170479,0.735078071922787
"T[Del(C):R4]A",0.933167025551084,0.775508256059266,1,0.875510292383617,0.842328386612632,0.888677204816442
"A[Del(C):R5]A",0.945103852058578,0.711636482234966,0.875510292383617,1,0.89967270082047,0.982575818410859
"G[Del(C):R5]A",0.880479161991975,0.912757977170479,0.842328386612632,0.89967270082047,1,0.917024724311071
"T[Del(C):R5]A",0.935526092452848,0.735078071922787,0.888677204816442,0.982575818410859,0.917024724311071,1
