"","A[Del(C):R3]T","G[Del(C):R3]T","T[Del(C):R3]T"
"A[Del(C):R3]T",1,0.869219812238665,0.873697585235356
"G[Del(C):R3]T",0.869219812238665,1,0.92332322303886
"T[Del(C):R3]T",0.873697585235356,0.92332322303886,1
